ID,Node ID,Name,Full Name,Description,HTML URL,Homepage,Clone URL,Git URL,SSH URL,SVN URL,Mirror URL,Stars,Forks,Watchers,Subscribers,Network Count,Open Issues,Size (KB),Language,Topics,Default Branch,Created At,Updated At,Last Push,Private,Is Fork,Archived,Disabled,Has Issues,Has Projects,Has Wiki,Has Pages,Has Downloads,Has Discussions,License Key,License Name,License SPDX ID,License URL,Visibility,Owner ID,Owner Login,Owner Type,Owner Site Admin,Owner URL,Owner Avatar URL,API URL,Contributors URL,Languages URL,Releases URL,Issues URL,Pulls URL,Allow Forking,Is Template,Allow Merge Commit,Allow Squash Merge,Allow Rebase Merge,Allow Auto Merge,Delete Branch on Merge,Score,Crawled At
,,stack-over-papers,fatihguzeldev/stack-over-papers,"computer science dünyasındaki keyifli makaleleri, yazıları ve bazen absürt bulduğumuz okumaları bir araya getiriyoruz. topluluk üyeleri tarafından önerilen ve kategorize edilen makaleler, github’da arşivlenir; tartışmalar ise twitter community’de gerçekleşir.",https://github.com/fatihguzeldev/stack-over-papers,https://x.com/i/communities/1957542341167784336,,,,,,31,1,0,0,0,0,0,,computerscience,main,2025-08-18T22:40:33Z,2025-08-19T23:03:59Z,,false,false,false,false,false,false,false,false,false,false,cc-by-sa-4.0,Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,https://api.github.com/licenses/cc-by-sa-4.0,,,fatihguzeldev,User,false,https://github.com/fatihguzeldev,,,,,,,,false,false,false,false,false,false,false,0,
,,Gift-Buyer-Parser-New,Angelo308/Gift-Buyer-Parser-New,Telegram Auto Gift Buyer - instantly purchases limited-edition gifts with smart filters and military-grade speed.,https://github.com/Angelo308/Gift-Buyer-Parser-New,,,,,,,31,94,0,0,0,0,0,,"automation, gift-buyer, gifts, telegram",main,2025-08-18T22:14:04Z,2025-08-19T01:41:15Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Angelo308,User,false,https://github.com/Angelo308,,,,,,,,false,false,false,false,false,false,false,0,
,,Motion2Motion_codes,LinghaoChan/Motion2Motion_codes,[SIGGRAPH Asia 2025] Motion2Motion official codes,https://github.com/LinghaoChan/Motion2Motion_codes,https://lhchen.top/Motion2Motion,,,,,,30,1,0,0,0,0,0,,,main,2025-08-18T06:40:46Z,2025-08-19T22:59:45Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,LinghaoChan,User,false,https://github.com/LinghaoChan,,,,,,,,false,false,false,false,false,false,false,0,
,,agents.md,openai/agents.md,"AGENTS.md — a simple, open format for guiding coding agents",https://github.com/openai/agents.md,https://agents.md,,,,,,29,6,0,0,0,0,0,TypeScript,,main,2025-08-19T17:22:54Z,2025-08-19T23:02:00Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,openai,Organization,false,https://github.com/openai,,,,,,,,false,false,false,false,false,false,false,0,
,,MOSAIC,bytedance-fanqie-ai/MOSAIC,,https://github.com/bytedance-fanqie-ai/MOSAIC,,,,,,,29,0,0,0,0,0,0,,,main,2025-08-19T08:15:52Z,2025-08-19T22:43:28Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,bytedance-fanqie-ai,User,false,https://github.com/bytedance-fanqie-ai,,,,,,,,false,false,false,false,false,false,false,0,
,,InfiniteTalk,bmwas/InfiniteTalk,​​Unlimited-length talking video generation​​ that supports image-to-video and video-to-video generation,https://github.com/bmwas/InfiniteTalk,,,,,,,28,2,0,0,0,0,0,,,main,2025-08-18T01:29:54Z,2025-08-19T20:47:24Z,,false,false,false,false,false,false,false,false,false,false,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,,,bmwas,User,false,https://github.com/bmwas,,,,,,,,false,false,false,false,false,false,false,0,
,,claude-in-a-box,juancgarza/claude-in-a-box,"A ChatGPT Canvas/Claude Artifacts-style interface for Claude Code running in E2B sandboxes. Build, create, and code anything with AI-powered development in secure, isolated environments.",https://github.com/juancgarza/claude-in-a-box,,,,,,,26,4,0,0,0,0,0,TypeScript,,main,2025-08-18T04:54:49Z,2025-08-19T21:21:24Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,juancgarza,User,false,https://github.com/juancgarza,,,,,,,,false,false,false,false,false,false,false,0,
,,granite,mchav/granite,A library for producing terminal plots.,https://github.com/mchav/granite,,,,,,,24,0,0,0,0,0,0,Haskell,,main,2025-08-19T03:02:52Z,2025-08-19T23:03:41Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,mchav,User,false,https://github.com/mchav,,,,,,,,false,false,false,false,false,false,false,0,
,,KMS-Activator-Plus-,Anatolijsstaris764/KMS-Activator-Plus-,"A popular activation solution, KMS Auto supports all major Windows versions, including Windows 11, 10, 7, and XP, as well as Microsoft Office.",https://github.com/Anatolijsstaris764/KMS-Activator-Plus-,,,,,,,23,9,0,0,0,0,0,,"activator, kms, kms-auto, kms-download, kms-download-free, kms-free-download, kms-office, kms-pico-download, kmsauto-download, kmsauto-free, kmspico-office, kmspico-office-2024, kmspico-office-key, office-365-keygen, office-keygen, windows-kms-tool, word-activator-free, word-key-gen",main,2025-08-18T14:15:25Z,2025-08-18T17:20:38Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Anatolijsstaris764,User,false,https://github.com/Anatolijsstaris764,,,,,,,,false,false,false,false,false,false,false,0,
,,aiproxy,dev-tonic/aiproxy,,https://github.com/dev-tonic/aiproxy,,,,,,,22,3,0,0,0,0,0,Java,,main,2025-08-19T03:03:22Z,2025-08-19T09:31:15Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,dev-tonic,User,false,https://github.com/dev-tonic,,,,,,,,false,false,false,false,false,false,false,0,
,,kubernetes-resources-recommend,luozijian1990/kubernetes-resources-recommend,kubernetes resources recommend,https://github.com/luozijian1990/kubernetes-resources-recommend,,,,,,,22,3,0,0,0,0,0,Go,,main,2025-08-18T01:45:46Z,2025-08-18T16:03:20Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,luozijian1990,User,false,https://github.com/luozijian1990,,,,,,,,false,false,false,false,false,false,false,0,
,,HolyGrail,BlackSnufkin/HolyGrail,BYOVD hunter to help prioritize windows drivers worth manual analysis,https://github.com/BlackSnufkin/HolyGrail,,,,,,,22,2,0,0,0,0,0,Rust,"byovd, loldrivers, red-team",main,2025-08-18T13:36:57Z,2025-08-19T18:39:16Z,,false,false,false,false,false,false,false,false,false,false,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,,,BlackSnufkin,User,false,https://github.com/BlackSnufkin,,,,,,,,false,false,false,false,false,false,false,0,
,,passierschein-a38,Kamik423/passierschein-a38,Antragsformular für den Passierschein A38 nach Rundschreiben B64 der Bundesbehörde für Rautavistik,https://github.com/Kamik423/passierschein-a38,,,,,,,20,2,0,0,0,0,0,TeX,"asterix, form, humor, passierschein-a38, rautavistics",main,2025-08-18T22:14:46Z,2025-08-19T19:42:40Z,,false,false,false,false,false,false,false,false,false,false,cc-by-sa-4.0,Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,https://api.github.com/licenses/cc-by-sa-4.0,,,Kamik423,User,false,https://github.com/Kamik423,,,,,,,,false,false,false,false,false,false,false,0,
,,heaven-dex-launchpad-script,Rabnail-SOL/heaven-dex-launchpad-script,Create and swap from heaven DEX launchpad,https://github.com/Rabnail-SOL/heaven-dex-launchpad-script,,,,,,,20,0,0,0,0,0,0,,"bundler, create-buy-sell, dex, heaven, launchpad, memecoin, solana, swap-script",main,2025-08-19T17:55:26Z,2025-08-19T18:50:34Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Rabnail-SOL,User,false,https://github.com/Rabnail-SOL,,,,,,,,false,false,false,false,false,false,false,0,
,,cronmaster,fccview/cronmaster,Cron management made easy,https://github.com/fccview/cronmaster,,,,,,,19,0,0,0,0,0,0,TypeScript,,main,2025-08-18T14:29:31Z,2025-08-19T22:53:40Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,fccview,User,false,https://github.com/fccview,,,,,,,,false,false,false,false,false,false,false,0,
,,AIFiesta-Limit-Bypass,Koushik-Zzz/AIFiesta-Limit-Bypass,Bypasses AIFiesta free usage limit,https://github.com/Koushik-Zzz/AIFiesta-Limit-Bypass,,,,,,,19,3,0,0,0,0,0,JavaScript,,main,2025-08-18T20:36:53Z,2025-08-19T18:00:51Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Koushik-Zzz,User,false,https://github.com/Koushik-Zzz,,,,,,,,false,false,false,false,false,false,false,0,
,,RizkyAndrianza,HubbardNoelOrg/RizkyAndrianza,,https://github.com/HubbardNoelOrg/RizkyAndrianza,,,,,,,19,0,0,0,0,0,0,,,main,2025-08-18T03:37:43Z,2025-08-18T03:51:32Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,HubbardNoelOrg,User,false,https://github.com/HubbardNoelOrg,,,,,,,,false,false,false,false,false,false,false,0,
,,DataStructure,Frank-Code-Show/DataStructure,,https://github.com/Frank-Code-Show/DataStructure,,,,,,,18,3,0,0,0,0,0,HTML,,main,2025-08-18T23:26:18Z,2025-08-19T12:02:14Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Frank-Code-Show,User,false,https://github.com/Frank-Code-Show,,,,,,,,false,false,false,false,false,false,false,0,
,,shine,Blade04208/shine,,https://github.com/Blade04208/shine,,,,,,,18,3,0,0,0,0,0,JavaScript,,main,2025-08-18T11:11:41Z,2025-08-19T21:59:56Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Blade04208,User,false,https://github.com/Blade04208,,,,,,,,false,false,false,false,false,false,false,0,
,,SmartBridge,wuchoecheon/SmartBridge,스마트 가전이 아닌 기기까지 제어 가능한 AIoT 기반 만능 리모컨 시스템,https://github.com/wuchoecheon/SmartBridge,,,,,,,17,0,0,0,0,0,0,Dart,,main,2025-08-18T16:37:56Z,2025-08-19T18:16:58Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,wuchoecheon,User,false,https://github.com/wuchoecheon,,,,,,,,false,false,false,false,false,false,false,0,
,,qwen2.5VLM-OCR,ikantkode/qwen2.5VLM-OCR,"A simple streamlit app, dockerized, to do OCR on documents. I'm lazy, idk.",https://github.com/ikantkode/qwen2.5VLM-OCR,,,,,,,17,0,0,0,0,0,0,Python,,main,2025-08-18T04:37:15Z,2025-08-19T11:04:10Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,ikantkode,User,false,https://github.com/ikantkode,,,,,,,,false,false,false,false,false,false,false,0,
,,ncnn_mobileclip,futz12/ncnn_mobileclip,ncnn export & infer mobileclip,https://github.com/futz12/ncnn_mobileclip,,,,,,,16,3,0,0,0,0,0,Python,,main,2025-08-18T01:05:51Z,2025-08-19T08:50:50Z,,false,false,false,false,false,false,false,false,false,false,other,Other,NOASSERTION,,,,futz12,User,false,https://github.com/futz12,,,,,,,,false,false,false,false,false,false,false,0,
,,barghman,dozheiny/barghman,A service that fetches your electricity blackout schedules and emails it as calendar (ICS) files.,https://github.com/dozheiny/barghman,,,,,,,16,0,0,0,0,0,0,Go,,main,2025-08-18T11:27:19Z,2025-08-19T21:10:54Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,dozheiny,User,false,https://github.com/dozheiny,,,,,,,,false,false,false,false,false,false,false,0,
,,Fir-Fetch,11firefly11/Fir-Fetch,通过谷歌语法自动收集敏感信息的信息搜集工具,https://github.com/11firefly11/Fir-Fetch,,,,,,,15,0,0,0,0,0,0,,,main,2025-08-19T00:46:59Z,2025-08-19T09:44:33Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,11firefly11,User,false,https://github.com/11firefly11,,,,,,,,false,false,false,false,false,false,false,0,
,,Solideus-AI,cryptowithshashi/Solideus-AI,,https://github.com/cryptowithshashi/Solideus-AI,,,,,,,15,0,0,0,0,0,0,,,main,2025-08-19T10:48:41Z,2025-08-19T14:43:29Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,cryptowithshashi,User,false,https://github.com/cryptowithshashi,,,,,,,,false,false,false,false,false,false,false,0,
,,ncnn-android-piper,nihui/ncnn-android-piper,ncnn android piper the fast and local neural text-to-speech engine,https://github.com/nihui/ncnn-android-piper,,,,,,,14,1,0,0,0,0,0,C++,"android, chinese, english, ios, ncnn, text-to-speech, tts, tts-engine",main,2025-08-19T08:15:15Z,2025-08-19T20:07:33Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,nihui,User,false,https://github.com/nihui,,,,,,,,false,false,false,false,false,false,false,0,
,,Datacmd,VincenzoManto/Datacmd,"Datacmd is the fastest, coolest way to turn raw data into stunning terminal dashboards. No setup, no fluff — just run a command and boom, your CSV or API becomes a live data experience. ⚡ CLI dashboards have never been this fun.",https://github.com/VincenzoManto/Datacmd,https://datastripes.com,,,,,,14,0,0,0,0,0,0,Go,"charts, csv, dashboard, data, data-science, data-visualization, go, golang",main,2025-08-19T10:52:25Z,2025-08-19T22:41:41Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,VincenzoManto,User,false,https://github.com/VincenzoManto,,,,,,,,false,false,false,false,false,false,false,0,
,,AppLockerInspector,techspence/AppLockerInspector,"Audits an AppLocker policy XML and reports weak/misconfigured/risky settings, including actual ACL checks.",https://github.com/techspence/AppLockerInspector,https://go.spenceralessi.com/links,,,,,,13,1,0,0,0,0,0,PowerShell,"application-control, applocker, microsoft, powershell, windows",main,2025-08-18T20:32:51Z,2025-08-19T22:54:41Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,techspence,User,false,https://github.com/techspence,,,,,,,,false,false,false,false,false,false,false,0,
,,AI_SLOP_SURVIVORS,VIBER-CODERS-ANON/AI_SLOP_SURVIVORS,OFFICAL A.S.S REPO,https://github.com/VIBER-CODERS-ANON/AI_SLOP_SURVIVORS,,,,,,,13,5,0,0,0,0,0,GDScript,,main,2025-08-19T00:18:13Z,2025-08-19T23:04:19Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,VIBER-CODERS-ANON,Organization,false,https://github.com/VIBER-CODERS-ANON,,,,,,,,false,false,false,false,false,false,false,0,
,,reqkill,Yuvraj-cyborg/reqkill,,https://github.com/Yuvraj-cyborg/reqkill,,,,,,,13,5,0,0,0,0,0,,,main,2025-08-18T19:27:46Z,2025-08-19T12:13:25Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Yuvraj-cyborg,User,false,https://github.com/Yuvraj-cyborg,,,,,,,,false,false,false,false,false,false,false,0,
,,PUAX,linkerlin/PUAX,A PUA prompts for AI Agent!,https://github.com/linkerlin/PUAX,,,,,,,12,0,0,0,0,0,0,,,main,2025-08-18T03:40:03Z,2025-08-18T09:16:05Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,linkerlin,User,false,https://github.com/linkerlin,,,,,,,,false,false,false,false,false,false,false,0,
,,ducklake-ruby,ankane/ducklake-ruby,Run your own data lake with a SQL database and file/object storage,https://github.com/ankane/ducklake-ruby,,,,,,,12,0,0,0,0,0,0,Ruby,,main,2025-08-18T04:54:11Z,2025-08-19T17:14:50Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,ankane,User,false,https://github.com/ankane,,,,,,,,false,false,false,false,false,false,false,0,
